       JobID    JobName  Partition    Account  AllocCPUS      State ExitCode 
------------ ---------- ---------- ---------- ---------- ---------- -------- 
18792352     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792352.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792353     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792353.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792354     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792354.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792355     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792355.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792356     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792356.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792357     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792357.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792358     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792358.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792359     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792359.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792360     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792360.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792361     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792361.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792362     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792362.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792363     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792363.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792364     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792364.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792365     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792365.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792366     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792366.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792367     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792367.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792368     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792368.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792369     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792369.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792370     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792370.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792371     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792371.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792372     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792372.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792373     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792373.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792374     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792374.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792375     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792375.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792376     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792376.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792377     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792377.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792378     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792378.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792379     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792379.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792380     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792380.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792381     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792381.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792382     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792382.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792383     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792383.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792384     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792384.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792385     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792385.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792386     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792386.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792387     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792387.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792388     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792388.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792389     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792389.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792390     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792390.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
